model,train_days,total_pnl_pips,total_trades,test_days,profitable_days,avg_daily_pnl,win_rate_days
RandomForest,5,-855.9535714282717,4571,10,3,-85.59535714282717,0.3
XGBoost,5,-1157.017857142554,7763,10,1,-115.70178571425541,0.1
LightGBM,5,-1357.0499999996682,7597,10,1,-135.70499999996682,0.1
LogisticReg,5,-239.23928571417838,1190,10,0,-23.92392857141784,0.0
MomentumRule,5,-1051.542857142632,4336,10,1,-105.15428571426321,0.1
RandomForest,10,5.435714285639839,323,10,3,0.5435714285639839,0.3
XGBoost,10,-548.0999999999789,3361,10,3,-54.809999999997885,0.3
LightGBM,10,-328.82142857141577,2867,10,3,-32.882142857141574,0.3
LogisticReg,10,-4.721428571428968,2,10,0,-0.4721428571428968,0.0
MomentumRule,10,-1009.4321428571424,3895,10,0,-100.94321428571423,0.0
